Team 1,Team 2,Score,Winner,Team 1 Player 1 Wins,Team 1 Player 1 Draws,Team 1 Player 1 Losses,Team 2 Player 1 Wins,Team 2 Player 1 Draws,Team 2 Player 1 Losses,Team 1 Player 2 Wins,Team 1 Player 2 Draws,Team 1 Player 2 Losses,Team 2 Player 2 Wins,Team 2 Player 2 Draws,Team 2 Player 2 Losses,Team 1 Player 3 Wins,Team 1 Player 3 Draws,Team 1 Player 3 Losses,Team 2 Player 3 Wins,Team 2 Player 3 Draws,Team 2 Player 3 Losses,Team 1 Player 4 Wins,Team 1 Player 4 Draws,Team 1 Player 4 Losses,Team 2 Player 4 Wins,Team 2 Player 4 Draws,Team 2 Player 4 Losses,Team 1 Player 5 Wins,Team 1 Player 5 Draws,Team 1 Player 5 Losses,Team 2 Player 5 Wins,Team 2 Player 5 Draws,Team 2 Player 5 Losses,Team 1 Player 6 Wins,Team 1 Player 6 Draws,Team 1 Player 6 Losses,Team 2 Player 6 Wins,Team 2 Player 6 Draws,Team 2 Player 6 Losses,Team 1 Player 7 Wins,Team 1 Player 7 Draws,Team 1 Player 7 Losses,Team 2 Player 7 Wins,Team 2 Player 7 Draws,Team 2 Player 7 Losses,Team 1 Player 8 Wins,Team 1 Player 8 Draws,Team 1 Player 8 Losses,Team 2 Player 8 Wins,Team 2 Player 8 Draws,Team 2 Player 8 Losses,Team 1 Player 9 Wins,Team 1 Player 9 Draws,Team 1 Player 9 Losses,Team 2 Player 9 Wins,Team 2 Player 9 Draws,Team 2 Player 9 Losses,Team 1 Player 10 Wins,Team 1 Player 10 Draws,Team 1 Player 10 Losses,Team 2 Player 10 Wins,Team 2 Player 10 Draws,Team 2 Player 10 Losses,Team 1 Player 11 Wins,Team 1 Player 11 Draws,Team 1 Player 11 Losses,Team 2 Player 11 Wins,Team 2 Player 11 Draws,Team 2 Player 11 Losses,Team 1 Player 12 Wins,Team 1 Player 12 Draws,Team 1 Player 12 Losses,Team 2 Player 12 Wins,Team 2 Player 12 Draws,Team 2 Player 12 Losses,Team 1 Player 13 Wins,Team 1 Player 13 Draws,Team 1 Player 13 Losses,Team 2 Player 13 Wins,Team 2 Player 13 Draws,Team 2 Player 13 Losses,Team 1 Player 14 Wins,Team 1 Player 14 Draws,Team 1 Player 14 Losses,Team 2 Player 14 Wins,Team 2 Player 14 Draws,Team 2 Player 14 Losses,Team 1 Player 15 Wins,Team 1 Player 15 Draws,Team 1 Player 15 Losses,Team 2 Player 15 Wins,Team 2 Player 15 Draws,Team 2 Player 15 Losses,Team 1 Player 16 Wins,Team 1 Player 16 Draws,Team 1 Player 16 Losses,Team 2 Player 16 Wins,Team 2 Player 16 Draws,Team 2 Player 16 Losses,Team 1 Player 17 Wins,Team 1 Player 17 Draws,Team 1 Player 17 Losses,Team 2 Player 17 Wins,Team 2 Player 17 Draws,Team 2 Player 17 Losses,Team 1 Player 18 Wins,Team 1 Player 18 Draws,Team 1 Player 18 Losses,Team 2 Player 18 Wins,Team 2 Player 18 Draws,Team 2 Player 18 Losses,Team 1 Player 19 Wins,Team 1 Player 19 Draws,Team 1 Player 19 Losses,Team 2 Player 19 Wins,Team 2 Player 19 Draws,Team 2 Player 19 Losses,Team 1 Player 20 Wins,Team 1 Player 20 Draws,Team 1 Player 20 Losses,Team 2 Player 20 Wins,Team 2 Player 20 Draws,Team 2 Player 20 Losses,Team 1 Player 21 Wins,Team 1 Player 21 Draws,Team 1 Player 21 Losses,Team 2 Player 21 Wins,Team 2 Player 21 Draws,Team 2 Player 21 Losses,Team 1 Player 22 Wins,Team 1 Player 22 Draws,Team 1 Player 22 Losses,Team 2 Player 22 Wins,Team 2 Player 22 Draws,Team 2 Player 22 Losses,Team 1 Player 23 Wins,Team 1 Player 23 Draws,Team 1 Player 23 Losses,Team 2 Player 23 Wins,Team 2 Player 23 Draws,Team 2 Player 23 Losses,Team 1 Player 24 Wins,Team 1 Player 24 Draws,Team 1 Player 24 Losses,Team 2 Player 24 Wins,Team 2 Player 24 Draws,Team 2 Player 24 Losses
Atlètic Escaldes,Budućnost,0-3,Budućnost,0,1,0,10,8,5,1,0,3,0,0,0,81,62,57,86,75,69,0,0,0,31,24,23,74,42,47,177,145,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tre Penne,Breiðablik,1-7,Breiðablik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budućnost,Breiðablik,0-5,Breiðablik,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ħamrun,Maccabi Haifa,0-4,Maccabi Haifa,102,49,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,18,0,0,0,45,41,46,0,0,0,69,64,75,0,0,0,3,3,7,9,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Partizani,BATE Borisov,1-1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KÍ,Ferencváros,0-0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,10,17,0,0,0,0,0,0,0,0,0,52,27,43,0,0,0,9,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shamrock Rovers,Breiðablik,0-1,Breiðablik,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,4,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballkani,Ludogorets,2-0,Ballkani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,77,100,19,6,5,28,10,17,46,45,36,0,0,0,13,17,25,48,27,27,37,35,61,18,12,11,2,0,3,12,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raków,Flora,1-0,Raków,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olimpija,Valmiera,2-1,Olimpija,0,0,0,13,7,22,0,0,0,0,0,0,0,0,0,15,7,17,0,0,0,1,1,0,0,0,0,19,16,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
